StationNumber;ForkLengthinmillimeters;Location
14;64;other_site_by_the_river
14;69;other_site_by_the_river
14;71;other_site_by_the_river
14;72;other_site_by_the_river
14;74;other_site_by_the_river
14;76;other_site_by_the_river
14;77;other_site_by_the_river
14;78;other_site_by_the_river
14;78;other_site_by_the_river
14;78;other_site_by_the_river
14;79;other_site_by_the_river
14;80;other_site_by_the_river
14;80;other_site_by_the_river
14;80;other_site_by_the_river
14;80;other_site_by_the_river
14;80;other_site_by_the_river
14;80;other_site_by_the_river
14;83;other_site_by_the_river
14;84;other_site_by_the_river
14;84;other_site_by_the_river
14;84;other_site_by_the_river
14;84;other_site_by_the_river
14;84;other_site_by_the_river
14;85;other_site_by_the_river
14;85;other_site_by_the_river
14;87;other_site_by_the_river
14;87;other_site_by_the_river
14;88;other_site_by_the_river
14;88;other_site_by_the_river
14;89;other_site_by_the_river
14;89;other_site_by_the_river
14;89;other_site_by_the_river
14;89;other_site_by_the_river
14;90;other_site_by_the_river
14;90;other_site_by_the_river
14;90;other_site_by_the_river
14;92;other_site_by_the_river
14;93;other_site_by_the_river
14;93;other_site_by_the_river
14;93;other_site_by_the_river
14;94;other_site_by_the_river
14;94;other_site_by_the_river
14;94;other_site_by_the_river
14;94;other_site_by_the_river
14;95;other_site_by_the_river
14;95;other_site_by_the_river
14;95;other_site_by_the_river
14;96;other_site_by_the_river
14;96;other_site_by_the_river
14;96;other_site_by_the_river
14;97;other_site_by_the_river
14;97;other_site_by_the_river
14;98;other_site_by_the_river
14;98;other_site_by_the_river
14;99;other_site_by_the_river
14;99;other_site_by_the_river
14;100;other_site_by_the_river
14;100;other_site_by_the_river
14;103;other_site_by_the_river
14;103;other_site_by_the_river
14;104;other_site_by_the_river
14;105;other_site_by_the_river
14;106;other_site_by_the_river
14;108;other_site_by_the_river
15;71;other_site_by_the_river
15;72;other_site_by_the_river
15;75;other_site_by_the_river
15;77;other_site_by_the_river
15;78;other_site_by_the_river
15;79;other_site_by_the_river
15;79;other_site_by_the_river
15;80;other_site_by_the_river
